,y_true,ets_forecaster,arima_forecaster
2023-01-16,13613359.0,13337272.473732028,13456333.105753064
2023-01-23,13233194.0,13095905.309313986,12966894.938713947
2023-01-30,13093833.0,13110579.02008177,13225143.326188726
2023-02-06,13799174.0,13846666.17304983,14116280.321481792
2023-02-13,15000469.0,14811900.976578057,15006720.775383867
2023-02-20,15809262.0,15559768.786005089,15427963.610061446
2023-02-27,15347538.0,15539302.199042559,15477766.301060181
2023-03-06,16101944.0,16048537.045260891,16052509.645512117
2023-03-13,16592726.0,16795546.121311203,16834858.91380865
2023-03-20,16346550.0,16539865.913845362,16478936.938945802
2023-03-27,16456251.0,16255368.09346135,16029206.234452201
2023-04-03,16184499.0,16406758.066924954,16527313.03505376
2023-04-10,16539929.0,16080002.821353603,16170244.807449805
2023-04-17,16501087.0,16576596.73389407,16473152.003313854
2023-04-24,16192025.0,16285437.308506489,16242387.200889077
2023-05-01,16250482.0,16297397.561215198,16186385.508279359
2023-05-08,16655463.0,16885392.29347787,16891407.41734169
2023-05-15,17268254.0,17058423.107627023,16956250.67223692
2023-05-22,17182074.0,17275211.67118402,17126603.53827847
2023-05-29,17097208.0,17272945.16735375,17289685.725600712
2023-06-05,17520718.0,17501434.124370676,17612538.241945587
2023-06-12,18052355.0,17920921.506327324,17814140.538896073
2023-06-19,18429093.0,18342907.070375077,18200136.370254096
2023-06-26,18380371.0,18159252.874677002,17979240.99304497
2023-07-03,16960041.0,17928984.49119342,18087881.54315787
2023-07-10,18221421.0,17535877.324923184,17624455.64592553
2023-07-17,18500203.0,18410593.89825175,18202220.24723939
2023-07-24,18349528.0,18392849.026249167,18408744.148283962
2023-07-31,18010171.0,17900706.649396073,17891031.46257832
2023-08-07,17708161.0,17611154.04683571,17574247.10327096
2023-08-14,17101925.0,17154432.263678852,17262384.999438714
2023-08-21,16371330.0,16367673.725201849,16534549.324534606
2023-08-28,15786885.0,15919604.878335608,16017150.593770204
2023-09-04,16115757.0,16041694.049216958,16102717.06128562
2023-09-11,16312353.0,16126806.318284106,16141893.885308983
2023-09-18,16770081.0,16604964.83091081,16457968.250952866
2023-09-25,16783264.0,16410640.37987898,15968758.531628773
2023-10-02,17071747.0,17424696.826938502,17470716.738906324
2023-10-09,17762083.0,17700134.129704718,17784358.42329698
2023-10-16,17474614.0,17450526.473048832,17452259.55135054
2023-10-23,16779561.0,16722400.4751358,16769742.27788239
2023-10-30,15748978.0,16399797.009769302,16568845.797530105
2023-11-06,16680288.0,16190525.385855991,16199633.565657824
2023-11-13,17024602.0,17190046.971228004,17160285.743972294
2023-11-20,17182244.0,17270915.50662523,17237060.220009204
2023-11-27,15525727.0,15869077.303503126,16187755.931359993
2023-12-04,15311894.0,15241241.038151316,15545308.635251366
2023-12-11,16270763.0,16256121.69472967,16317809.566568641
2023-12-18,17176794.0,16381910.59591566,16077880.774486171
2023-12-25,17307363.0,17135881.584590096,16889636.976363737
2024-01-01,16417650.0,16649847.868001118,16360076.491911061
2024-01-08,14560684.0,14840518.135884292,15248018.763750745
2024-01-15,14132315.0,14138756.39632532,14655481.664933443
2024-01-22,14024424.0,13614801.899813514,13864709.454550864
2024-01-29,13958167.0,13901729.702208668,14014825.870703205
2024-02-05,14491216.0,14710965.083849872,14860705.763757871
2024-02-12,15824564.0,15503946.874485264,15980541.077640058
2024-02-19,16712712.0,16383839.35689956,16690920.505367158
2024-02-26,16334405.0,16442699.01875084,16353015.68923647
2024-03-04,16961944.0,17035418.201870408,17128110.120154094
2024-03-11,17586504.0,17655527.32294833,17632497.43935396
2024-03-18,17802222.0,17533634.700451933,17411000.321087293
2024-03-25,17709701.0,17711067.80506271,17665730.06673816
2024-04-01,17529772.0,17660207.011222422,17654117.754329484
2024-04-08,17243711.0,17425345.724825434,17863612.143985298
2024-04-15,17429081.0,17280360.813608196,17482916.5242112
2024-04-22,17178886.0,17213396.85552479,17160254.66306717
2024-04-29,17234685.0,17284253.047839873,17227902.01197294
2024-05-06,17904360.0,17869576.49727081,17758034.35003405
2024-05-13,18396438.0,18307350.538552765,18411716.322737433
2024-05-20,18477381.0,18403386.666027796,18355506.870919045
2024-05-27,18440447.0,18568245.85466484,18404198.481647953
2024-06-03,18753868.0,18844703.19228655,18913787.162793662
