,y_true,gb_forecaster,rt_forecaster,sv_forecaster,nn_forecaster,prophet_forecaster
2022-02-28,13572793.0,13437185.350221252,13411795.700378425,13129083.178606512,13461059.108270552,13610516.38164061
2022-03-07,14305252.0,12971586.655003326,13867910.01496066,13567652.23382878,13643735.83313438,14032656.110957162
2022-03-14,15113644.0,13946128.555317849,14211700.296261191,14142368.20584131,14272491.580187635,14341564.290856447
2022-03-21,14903923.0,15025078.344827002,14749103.189631436,14570688.352783004,14562720.9384121,14551416.406064738
2022-03-28,14412521.0,14613841.272184422,14686838.315695982,14434901.127942614,14355139.199644605,14659097.849794816
2022-04-04,14789238.0,14870910.184034135,14722047.492443224,14453627.912774779,14203241.02452099,14624263.1416462
2022-04-11,14913539.0,15053175.883409204,14874445.004229689,14383510.841704827,14255646.47143205,14451181.317853658
2022-04-18,15128063.0,15082705.633084662,14892558.525621131,14608193.152633738,14377455.963884741,14275862.577007402
2022-04-25,14778505.0,14709332.851015368,14795175.744776782,14634728.690508418,14583378.000923665,14304638.305533813
2022-05-02,14610933.0,14810069.75722951,14703577.349319126,14828614.444924753,14228154.348519258,14608157.429144952
2022-05-09,15264956.0,15217792.00369639,14839507.434469588,15014511.917655243,15086058.602271726,15026366.275132028
2022-05-16,15529258.0,15514798.355596878,15265620.993255021,15464631.002863131,15037184.474850804,15329800.685203047
2022-05-23,15441423.0,15284512.068213101,15256833.538531903,15571254.196754556,15252996.442504657,15475348.358468963
2022-05-30,15421650.0,15264242.871052703,15165685.017138666,15311510.51065748,15381084.620775118,15641670.911624257
2022-06-06,15980327.0,15801715.290149776,15583712.542937636,15848991.25369074,15084109.209213698,15978781.090548811
2022-06-13,16194945.0,16084433.142270753,15788692.069033723,16411852.674884127,16092229.557042398,16377061.209713044
2022-06-20,16382612.0,16357629.481399834,16126166.917840471,16621377.508646304,16133138.95044585,16566328.784666166
2022-06-27,15988849.0,16142452.059269203,15984175.41343621,16236143.06483657,16062394.177226169,16451880.925380126
2022-07-04,15556716.0,15827222.865374058,16004117.062896527,16424587.181487778,15530042.90931653,16269632.101919351
2022-07-11,16080383.0,16000064.929613743,15943385.632087003,16490276.786898121,16272153.059060758,16330957.08317978
2022-07-18,16322221.0,16262879.047567092,16201445.984063055,16655399.038463108,16312680.914517934,16632822.587429624
2022-07-25,16346340.0,16310289.986368878,16184071.935474088,16435311.142664326,16329511.356079286,16808304.90029684
2022-08-01,15928523.0,16128523.527326208,16092866.013650717,16262105.913322447,16774831.030330073,16509893.268218616
2022-08-08,15622309.0,15700760.976696765,15653922.610912725,16280177.941589586,15493041.592996452,15796737.880077608
2022-08-15,15401455.0,15456207.282871485,15437201.64975343,16045911.969711218,15665387.652355686,15077667.139847998
2022-08-22,14975557.0,15120439.165854065,15219652.103037536,15438290.567675408,14940879.551123096,14684047.044134837
2022-08-29,14565898.0,14630099.475896511,14872664.826316455,14842361.688240184,14746209.463712737,14579489.427041912
2022-09-05,14848227.0,14759486.152662344,14805958.417660056,15123508.577339433,14095757.31877527,14526895.66458916
2022-09-12,14994653.0,14937492.001318114,14869647.680707684,15313400.342568677,15043454.188672714,14461058.986492168
2022-09-19,15104998.0,14909217.792378565,14988144.303912062,15427084.228151685,15340997.028791204,14571512.610111082
2022-09-26,14088736.0,14472045.045266932,14728450.595149213,15050777.399652937,15204921.396349598,14989455.534305573
2022-10-03,15192223.0,15058384.800990421,14676167.002856698,15080390.075468104,15444468.793129865,15500983.99306346
2022-10-10,15835492.0,15696531.02778533,15391439.512453241,15737216.132819204,15140944.55119538,15699261.857046742
2022-10-17,15634975.0,15708732.2375224,15569363.443422966,16012545.789148683,16071992.38746677,15435589.349206455
2022-10-24,15056398.0,15091987.265458811,15270961.567033513,15422139.147324983,15510591.130594134,15022466.873176146
2022-10-31,14649052.0,14693612.782781148,15032383.988538925,14806492.583056344,15171813.463570388,14908614.840699762
2022-11-07,14879308.0,14967915.91359365,14962875.4769958,15208109.54474801,14210487.147903189,15182045.440354953
2022-11-14,15541603.0,15350943.904720442,15257870.218931096,15568045.37211327,15613474.045864547,15484383.131897004
2022-11-21,15424134.0,15403802.480869887,15593938.8136855,15728486.995199302,15975451.261520794,15443201.267283285
2022-11-28,14534137.0,14895101.856145466,15150382.103316683,14978058.303203968,15447835.753899194,15112520.548985139
2022-12-05,14465275.0,14718727.877115846,14984100.674232675,14861197.078233726,15244771.670897456,14897790.6529257
2022-12-12,15314348.0,15471032.770208444,15409253.532344813,15281284.358607842,14781941.305773957,15051355.059561666
2022-12-19,15007790.0,15225618.927919101,15430336.680929985,15343291.21558296,15903772.222821305,15331890.347713301
2022-12-26,15094764.0,14799385.354151791,15030546.200831473,14797113.244034909,15361049.550182924,15230835.12246771
2023-01-02,14786417.0,14120796.65525764,14564784.707957042,14451824.704979222,14189155.503435114,14517219.496919107
2023-01-09,13759193.0,13945167.598453498,14362242.574116856,13663634.268657304,13866011.958931731,13503531.266567599
2023-01-16,13613359.0,13809429.123308484,13951706.216703463,13463484.29859025,13326598.05808171,12771298.202709736
